title,author,isbn,jd_url,douban_url,structured_score,structured_score_adjusted,final_score,tier
看懂古建筑,None,9787121512728,,,11.0,9.0,30.5,阅读价值为主
纽结,None,9787301367506,,,8.5,6.5,29.25,阅读价值为主
工资的真相,None,9787213119316,,,6.0,6.0,6.0,阅读价值为主
被偷走的尊严,None,9787108082152,,,6.0,6.0,6.0,阅读价值为主
日本漢字全史,None,9784480076601,,,3.5,3.5,3.5,阅读价值为主
米其林寻味指南,None,9787568077477,,,3.5,3.5,3.5,阅读价值为主
情绪沟通课,None,9787522540320,,,3.5,3.5,3.5,阅读价值为主
维特根斯坦论面相感知,None,9787522750873,,,3.5,3.5,3.5,阅读价值为主
荣格的艺术,None,9787111785149,,,3.5,3.5,3.5,阅读价值为主
士变,None,9787100256650,,,3.5,3.5,3.5,阅读价值为主
通信的数学理论,None,9787115662286,,,3.5,3.5,3.5,阅读价值为主
定心,None,9787572625817,,,3.5,3.5,3.5,阅读价值为主
时间的发现,None,9787100256230,,,3.5,3.5,3.5,阅读价值为主
永劫馆超连续杀人事件,None,9787505761490,,,3.5,3.5,3.5,阅读价值为主
山之上的交响乐,None,9787513361972,,,3.5,3.5,3.5,阅读价值为主
语言是如何被学会的,None,9787100252195,,,3.5,3.5,3.5,阅读价值为主
吾家蜀江上：苏轼在眉山,None,9787541173882,,,3.5,3.5,3.5,阅读价值为主
灰烬里我披着红发升起,None,9787559494665,,,3.5,3.5,3.5,阅读价值为主
追寻六百万中的六人,None,9787208198388,,,3.5,3.5,3.5,阅读价值为主
天使的精确性,None,9787201214870,,,3.5,3.5,3.5,阅读价值为主
