0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,=1+1+2,,,,,,,,,,,
,20,23,24.0,25,26.0,,,,,,,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7b3c61618680>
,19,<openpyxl.worksheet.formula.DataTableFormula object at 0x7b3c616189e0>,19.0,19,19.0,,,,,,,,,,
,7,7,7.0,7,7.0,,,,,,,,,,
,,0,0.0,0,0.0,,,,,,,,,,
,=(B3+B4)/B5,6,6.142857142857143,6.285714285714286,6.428571428571429,,,,,,,,,,
,,,,,,,,GTI Limited (3344),,,,,,,
,,,,,,,,747465,,,,,,,
,,,,,,,,196177,,,,,,,
,,,,,,,,1,,,,,,,
,,,,,,,,6298816,,,,,,,
,,,,,,,,=STDEV(U12:U35)*SQRT(12),,,,,,,
,,,,,,,,0.01,,,,,,,
,,,,,,,,=I13+I14/2,,,,,,,
,,,,,,,,=I16*I17,,,,,,,
,,,,,,,,1314891.5197805779,,,,,,,
,,,,,,,,0.5227860429506087,,,,,,,
,,,,,,,,=(I24-I20)/(I24*I25),,,,,,,
,,,,,,,,=(1-NORMSDIST(I26))/2,,,,,,,
,,,,,,,,=LN(I24/(I20*EXP(-I19*I15)))/(I25*SQRT(I15))+I25*SQRT(I15)/2,,,,,,,
,,,,,,,,=I31-I25*SQRT(I15),,,,,,,
,,,,,,,,=NORMSDIST(I31),,,,,,,
,,,,,,,,=NORMSDIST(I32),,,,,,,
,,,,,,,,=I24*I33-I20*EXP(-I15*I19)*I34,,,,,,,
,,,,,,,,=I35-I21,,,,,,,
,,,,,,,,Probability,,,,,,,
,,,,,,,,0.0002,,,,,,,
,,,,,,,,0.0033,,,,,,,
,,,,,,,,0.0595,,,,,,,
,,,,,,,,0.8693,,,,,,,
,,,,,,,,0.053,,,,,,,
,,,,,,,,0.0117,,,,,,,
,,,,,,,,0.0012,,,,,,,
,,,,,,,,0.0018,,,,,,,
,,,,,,,,1.65 * s =,,,,,,,
,,,,,,,,2.33 * s =,,,,,,,
,,,,,,,,95% of actual distribution =,,,,,,,
,,,,,,,,99% of actual distribution =,,,,,,,
